Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_0/inst/net_slot_0_axis_tdata[127:0],system_i/system_ila_0/inst/net_slot_0_axis_tstrb[15:0],system_i/system_ila_0/inst/net_slot_0_axis_tvalid,system_i/system_ila_0/inst/net_slot_0_axis_tready,system_i/system_ila_0/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(Conn)[2:0],T_Channel_(i1:s0)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
1,1,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
2,2,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
3,3,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
4,4,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
5,5,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
6,6,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
7,7,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
8,8,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
9,9,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
10,10,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
11,11,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
12,12,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
13,13,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
14,14,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
15,15,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
16,16,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
17,17,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
18,18,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
19,19,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
20,20,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
21,21,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
22,22,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
23,23,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
24,24,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
25,25,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
26,26,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
27,27,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
28,28,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
29,29,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
30,30,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
31,31,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
32,32,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
33,33,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
34,34,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
35,35,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
36,36,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
37,37,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
38,38,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
39,39,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
40,40,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
41,41,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
42,42,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
43,43,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
44,44,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
45,45,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
46,46,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
47,47,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
48,48,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
49,49,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
50,50,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
51,51,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
52,52,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
53,53,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
54,54,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
55,55,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
56,56,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
57,57,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
58,58,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
59,59,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
60,60,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
61,61,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
62,62,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
63,63,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
64,64,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
65,65,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
66,66,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
67,67,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
68,68,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
69,69,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
70,70,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
71,71,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
72,72,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
73,73,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
74,74,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
75,75,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
76,76,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
77,77,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
78,78,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
79,79,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
80,80,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
81,81,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
82,82,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
83,83,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
84,84,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
85,85,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
86,86,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
87,87,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
88,88,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
